A Beautiful Mind,4,1
Clueless,2,0
Divergent,1,0
Duel,1,0
E.T.,1,0
Jurrasic Park,1,0
Legally Blonde,1,0
Sully,2,1
The Breakfast Club,1,0
The DaVinci Code,1,0
The Devil Wears Prada,1,0
The Mule,1,0
The Parent Trap ,2,0
