Steven,Spielberg,4
Ron ,Howard,3
George ,Lucas,2
John,Hughes,2
Clint,Eastwood,2
J.J. ,Abrams,1
Gareth,Edwards,1
Robert ,Luketic,1
Nancy ,Meyers,1
Amy ,Heckerling,1
David ,Frankel,1
Blake,Edwards,1
Joe,Pytka,1
Roger ,Allers,1
Alfred ,Hitchcock,1
James,Cameron,1
Chris,Columbus,1
Randal,Kleiser,1
Bryan,Singer,1
Baz,Luhrmann,1
