5000,J.J. ,Abrams
5001,Gareth,Edwards
5002,George ,Lucas
5003,Robert ,Luketic
5004,Nancy ,Meyers
5005,Amy ,Heckerling
5006,David ,Frankel
5007,Ron ,Howard
5008,Blake,Edwards
5009,Joe,Pytka
5010,Steven,Spielberg
5011,John,Hughes
5012,Roger ,Allers
5013,Alfred ,Hitchcock
5014,James,Cameron
5015,Chris,Columbus
5016,Randal,Kleiser
5017,Bryan,Singer
5018,Clint,Eastwood
5019,Baz,Luhrmann
5020,Niel,Burger
5021,Ridley,Scott
